role,name,team
student,J-Y-Yan,CS2113-F11-1
student,kevinz420,CS2113-F11-1
student,MrOPPA1,CS2113-F11-1
student,Remy9926,CS2113-F11-1
student,kaijie0102,CS2113-F11-2
student,charkty,CS2113-F11-2
student,StanleyW00,CS2113-F11-2
student,Haoyuli2002,CS2113-F11-2
student,Cheezeblokz,CS2113-F11-3
student,wendelinwemhoener,CS2113-F11-3
student,junhyeong0411,CS2113-F11-3
student,Brian030601,CS2113-F11-3
student,yicheng-toh,CS2113-T17-1
student,nihalzp,CS2113-T17-1
student,DaDevChia,CS2113-T17-1
student,AlWo223,CS2113-T17-1
student,skylee03,CS2113-T17-1
student,DextheChik3n,CS2113-T17-2
student,ziyi105,CS2113-T17-2
student,Cazh1,CS2113-T17-2
student,ShaniceTang,CS2113-T17-2
student,NaychiMin,CS2113-T17-2
student,TeoHaoZhi,CS2113-T17-3
student,azfarulmatin,CS2113-T17-3
student,Barbaracwx,CS2113-T17-3
student,karishma-t,CS2113-T17-3
student,martinschnder,CS2113-T17-3
student,SebasFok,CS2113-T17-4
student,rohitcube,CS2113-T17-4
student,janelleenqi,CS2113-T17-4
student,ryanlohyr,CS2113-T17-4
student,CerIsaiah,CS2113-T17-4
student,onx001,CS2113-T18-1
student,TongZhengHong,CS2113-T18-1
student,ken-ruster,CS2113-T18-1
student,TriciaBK,CS2113-T18-1
student,antrikshdhand,CS2113-T18-1
student,NeoMinWei,CS2113-T18-2
student,wwweert123,CS2113-T18-2
student,ryan1604,CS2113-T18-2
student,YFshadaow,CS2113-T18-2
student,hshiah,CS2113-T18-2
student,bljhty,CS2113-T18-3
student,limyuhching,CS2113-T18-3
student,Hongzhii,CS2113-T18-3
student,KenCheung18,CS2113-T18-3
student,aaronxujiachen,CS2113-T18-4
student,choonkit-nus,CS2113-T18-4
student,lckjosh,CS2113-T18-4
student,spaceman03,CS2113-T18-4
student,vvhuiling,CS2113-T18-4
student,StevenGX12,CS2113-W12-1
student,yeo-menghan,CS2113-W12-1
student,lisizhuang-0121,CS2113-W12-1
student,James-Hong-Jey,CS2113-W12-1
student,spinoandraptos,CS2113-W12-1
student,mcmc101001,CS2113-W12-2
student,BenedictChannn,CS2113-W12-2
student,WooKaiNing,CS2113-W12-2
student,Xuan127,CS2113-W12-2
student,danielpappa,CS2113-W12-2
student,sRanay,CS2113-W12-3
student,Jonoans,CS2113-W12-3
student,ChoonSiang,CS2113-W12-3
student,hooami,CS2113-W12-3
student,itayrefaely,CS2113-W12-3
student,NgLixuanNixon,CS2113-W12-4
student,farissirraj,CS2113-W12-4
student,J0shuaLeong,CS2113-W12-4
student,ICubE-,CS2113-W12-4
student,marklin2234,CS2113-W12-4
student,bnjm2000,CS2113T-W11-1
student,DavinciDelta,CS2113T-W11-1
student,yingx9,CS2113T-W11-1
student,JoanneJo,CS2113T-W11-1
student,000verflow,CS2113T-W11-1
student,woodenclock,CS2113T-W11-2
student,tangzhenen,CS2113T-W11-2
student,imaginarys96,CS2113T-W11-2
student,lctxct,CS2113T-W11-2
students,chunweii,dev-team
students,vigneshsankariyer1234567890,dev-team
students,cheehongw,dev-team
students,Eclipse-Dominator,dev-team
students,Echomo-Xinyu,dev-team
student,okkhoy,teaching-team
student,damithc,teaching-team
